1.059 124 WIND_INFO 124 42 0. 0. 0.
2.085 124 LINK_REPORT 124 -1 509 0 887144 17737 7 1709. 33. 211 3.32
2.121 124 INS 0 0 0 0 0 0 0 0 0
2.174 124 DELFLY_STATE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7909 0 6432 0. 4
2.272 124 DELFLY_FLAPCONTROL 0. 0. 0. 0 0. 0
2.272 124 RPM_SENSOR 1839 59339 106.666664 4.605974 0. 0. 0. 23
2.324 124 DELFLY_SPEEDCTRL 1 0 0 0 0 0 0 0 0 0 0 0 0. 0 0 0. 0 0 0.
2.331 124 GPS_INT 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2.333 124 GPS_DIAGNOSTICS 0 0 0. 0. 0 0 0 0 0 0 0
2.370 124 INS 0 0 0 0 0 0 0 0 0
2.425 124 DELFLY_STATE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7724 0 6432 0. 4
2.428 124 DELFLY_SPEEDCTRL_GAINS 0 18829 11115 12.5892 -485 -777 -0.0227 -1259 117 0.0034
2.523 124 DELFLY_FLAPCONTROL 0. 0. 0. 0 0. 0
2.523 124 RPM_SENSOR 1839 59339 106.666664 4.605974 0. 0. 0. 23
2.529 124 STAB_ATTITUDE_INT 224 -53 -1068 -12257 4453 7857 0 -387 2670 0 0 0 262 -1249 149 0 0 488 -61 -1115 0
2.573 124 DELFLY_SPEEDCTRL 1 0 0 0 0 0 0 0 0 0 0 0 0. 0 0 0. 0 0 0.
2.583 124 ROTORCRAFT_FP 0 0 0 0 0 0 -12166 4452 7942 0 0 512 0 -5280 307
2.583 124 ROTORCRAFT_CMD -61 -1083 0 -5280
2.620 124 INS 0 0 0 0 0 0 0 0 0
2.628 124 PONG 
2.653 124 LINK_REPORT 124 -1 510 0 888908 17773 7 1764. 36. 212 2.69
2.675 124 DELFLY_STATE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8148 0 6432 0. 4
2.771 124 DELFLY_FLAPCONTROL 0. 0. 0. 0 0. 0
2.771 124 RPM_SENSOR 1839 59339 106.666664 4.605974 0. 0. 0. 23
2.825 124 DELFLY_SPEEDCTRL 1 0 0 0 0 0 0 0 0 0 0 0 0. 0 0 0. 0 0 0.
2.831 124 GPS_INT 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2.831 124 ENERGY 3.4 0. 117 0.
2.838 124 ALIVE 149,251,182,213,37,118,174,52,217,173,248,148,95,178,143,154
2.870 124 INS 0 0 0 0 0 0 0 0 0
2.923 124 DELFLY_STATE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8379 0 6432 0. 4
3.023 124 DELFLY_FLAPCONTROL 0. 0. 0. 0 0. 0
3.024 124 RPM_SENSOR 1839 59339 106.666664 4.605974 0. 0. 0. 23
3.029 124 STAB_ATTITUDE_INT -396 -65 342 -11669 4600 8484 0 -387 2670 0 0 0 262 -1249 149 0 0 488 -61 -1083 0
3.075 124 DELFLY_SPEEDCTRL 1 0 0 0 0 0 0 0 0 0 0 0 0. 0 0 0. 0 0 0.
3.084 124 ROTORCRAFT_FP 0 0 0 0 0 0 -11792 4578 8402 0 0 512 0 -5120 307
3.164 124 ROTORCRAFT_CMD -65 -1083 0 -5120
3.170 124 INS 0 0 0 0 0 0 0 0 0
3.653 124 LINK_REPORT 124 -1 511 0 889717 17789 7 809. 16. 212 2.69
3.732 124 WIND_INFO 124 42 0. 0. 0.
4.654 124 LINK_REPORT 124 -1 512 1 889717 17789 7 0. 0. 213 2.69
5.655 124 LINK_REPORT 124 -1 513 2 889717 17789 7 0. 0. 213 2.69
6.655 124 LINK_REPORT 124 -1 514 3 889717 17789 7 0. 0. 213 2.69
7.657 124 LINK_REPORT 124 -1 515 4 889717 17789 7 0. 0. 214 -4997.35
8.659 124 LINK_REPORT 124 -1 516 5 889717 17789 7 0. 0. 214 -4997.35
9.661 124 LINK_REPORT 124 -1 517 6 889717 17789 7 0. 0. 214 -4997.35
10.661 124 LINK_REPORT 124 -1 518 7 889717 17789 7 0. 0. 214 -4997.35
11.083 124 WIND_INFO 124 42 0. 0. 0.
11.661 124 LINK_REPORT 124 -1 519 8 889717 17789 7 0. 0. 214 -4997.35
12.665 124 LINK_REPORT 124 -1 520 9 889717 17789 7 0. 0. 214 -10000.31
13.667 124 LINK_REPORT 124 -1 521 10 889717 17789 7 0. 0. 214 -10000.31
13.732 124 WIND_INFO 124 42 0. 0. 0.
14.668 124 LINK_REPORT 124 -1 522 11 889717 17789 7 0. 0. 214 -10000.31
15.669 124 LINK_REPORT 124 -1 523 12 889717 17789 7 0. 0. 214 -10000.31
16.669 124 LINK_REPORT 124 -1 524 13 889717 17789 7 0. 0. 214 -10000.31
17.670 124 LINK_REPORT 124 -1 525 14 889717 17789 7 0. 0. 214 -15001.46
18.671 124 LINK_REPORT 124 -1 526 15 889717 17789 7 0. 0. 214 -15001.46
19.673 124 LINK_REPORT 124 -1 527 16 889717 17789 7 0. 0. 214 -15001.46
20.673 124 LINK_REPORT 124 -1 528 17 889717 17789 7 0. 0. 214 -15001.46
21.079 124 WIND_INFO 124 42 0. 0. 0.
21.673 124 LINK_REPORT 124 -1 529 18 889717 17789 7 0. 0. 214 -15001.46
22.674 124 LINK_REPORT 124 -1 530 19 889717 17789 7 0. 0. 214 -20002.29
23.675 124 LINK_REPORT 124 -1 531 20 889717 17789 7 0. 0. 214 -20002.29
23.732 124 WIND_INFO 124 42 0. 0. 0.
24.676 124 LINK_REPORT 124 -1 532 21 889717 17789 7 0. 0. 214 -20002.29
25.678 124 LINK_REPORT 124 -1 533 22 889717 17789 7 0. 0. 214 -20002.29
26.683 124 LINK_REPORT 124 -1 534 23 889717 17789 7 0. 0. 214 -20002.29
27.683 124 LINK_REPORT 124 -1 535 24 889717 17789 7 0. 0. 214 -25003.1
28.686 124 LINK_REPORT 124 -1 536 25 889717 17789 7 0. 0. 214 -25003.1
29.688 124 LINK_REPORT 124 -1 537 26 889717 17789 7 0. 0. 214 -25003.1
30.689 124 LINK_REPORT 124 -1 538 27 889717 17789 7 0. 0. 214 -25003.1
31.080 124 WIND_INFO 124 42 0. 0. 0.
31.690 124 LINK_REPORT 124 -1 539 28 889717 17789 7 0. 0. 214 -25003.1
32.691 124 LINK_REPORT 124 -1 540 29 889717 17789 7 0. 0. 214 -30004.03
33.693 124 LINK_REPORT 124 -1 541 30 889717 17789 7 0. 0. 214 -30004.03
33.733 124 WIND_INFO 124 42 0. 0. 0.
34.695 124 LINK_REPORT 124 -1 542 31 889717 17789 7 0. 0. 214 -30004.03
35.696 124 LINK_REPORT 124 -1 543 32 889717 17789 7 0. 0. 214 -30004.03
36.701 124 LINK_REPORT 124 -1 544 33 889717 17789 7 0. 0. 214 -30004.03
37.701 124 LINK_REPORT 124 -1 545 34 889717 17789 7 0. 0. 214 -35005.83
38.701 124 LINK_REPORT 124 -1 546 35 889717 17789 7 0. 0. 214 -35005.83
39.702 124 LINK_REPORT 124 -1 547 36 889717 17789 7 0. 0. 214 -35005.83
40.704 124 LINK_REPORT 124 -1 548 37 889717 17789 7 0. 0. 214 -35005.83
41.081 124 WIND_INFO 124 42 0. 0. 0.
41.705 124 LINK_REPORT 124 -1 549 38 889717 17789 7 0. 0. 214 -35005.83
42.706 124 LINK_REPORT 124 -1 550 39 889717 17789 7 0. 0. 214 -40006.51
43.707 124 LINK_REPORT 124 -1 551 40 889717 17789 7 0. 0. 214 -40006.51
43.733 124 WIND_INFO 124 42 0. 0. 0.
44.708 124 LINK_REPORT 124 -1 552 41 889717 17789 7 0. 0. 214 -40006.51
45.710 124 LINK_REPORT 124 -1 553 42 889717 17789 7 0. 0. 214 -40006.51
46.711 124 LINK_REPORT 124 -1 554 43 889717 17789 7 0. 0. 214 -40006.51
47.711 124 LINK_REPORT 124 -1 555 44 889717 17789 7 0. 0. 214 -45007.18
48.713 124 LINK_REPORT 124 -1 556 45 889717 17789 7 0. 0. 214 -45007.18
49.714 124 LINK_REPORT 124 -1 557 46 889717 17789 7 0. 0. 214 -45007.18
50.714 124 LINK_REPORT 124 -1 558 47 889717 17789 7 0. 0. 214 -45007.18
51.082 124 WIND_INFO 124 42 0. 0. 0.
51.715 124 LINK_REPORT 124 -1 559 48 889717 17789 7 0. 0. 214 -45007.18
52.716 124 LINK_REPORT 124 -1 560 49 889717 17789 7 0. 0. 214 -50007.97
53.716 124 LINK_REPORT 124 -1 561 50 889717 17789 7 0. 0. 214 -50007.97
53.735 124 WIND_INFO 124 42 0. 0. 0.
54.717 124 LINK_REPORT 124 -1 562 51 889717 17789 7 0. 0. 214 -50007.97
55.719 124 LINK_REPORT 124 -1 563 52 889717 17789 7 0. 0. 214 -50007.97
56.720 124 LINK_REPORT 124 -1 564 53 889717 17789 7 0. 0. 214 -50007.97
57.720 124 LINK_REPORT 124 -1 565 54 889717 17789 7 0. 0. 214 -55008.83
58.721 124 LINK_REPORT 124 -1 566 55 889717 17789 7 0. 0. 214 -55008.83
59.723 124 LINK_REPORT 124 -1 567 56 889717 17789 7 0. 0. 214 -55008.83
60.724 124 LINK_REPORT 124 -1 568 57 889717 17789 7 0. 0. 214 -55008.83
61.084 124 WIND_INFO 124 42 0. 0. 0.
61.725 124 LINK_REPORT 124 -1 569 58 889717 17789 7 0. 0. 214 -55008.83
62.725 124 LINK_REPORT 124 -1 570 59 889717 17789 7 0. 0. 214 -60009.52
63.726 124 LINK_REPORT 124 -1 571 60 889717 17789 7 0. 0. 214 -60009.52
63.735 124 WIND_INFO 124 42 0. 0. 0.
64.726 124 LINK_REPORT 124 -1 572 61 889717 17789 7 0. 0. 214 -60009.52
65.727 124 LINK_REPORT 124 -1 573 62 889717 17789 7 0. 0. 214 -60009.52
66.730 124 LINK_REPORT 124 -1 574 63 889717 17789 7 0. 0. 214 -60009.52
67.729 124 LINK_REPORT 124 -1 575 64 889717 17789 7 0. 0. 214 -65010.72
68.730 124 LINK_REPORT 124 -1 576 65 889717 17789 7 0. 0. 214 -65010.72
69.731 124 LINK_REPORT 124 -1 577 66 889717 17789 7 0. 0. 214 -65010.72
70.731 124 LINK_REPORT 124 -1 578 67 889717 17789 7 0. 0. 214 -65010.72
71.084 124 WIND_INFO 124 42 0. 0. 0.
71.732 124 LINK_REPORT 124 -1 579 68 889717 17789 7 0. 0. 214 -65010.72
72.733 124 LINK_REPORT 124 -1 580 69 889717 17789 7 0. 0. 214 -70011.92
73.734 124 LINK_REPORT 124 -1 581 70 889717 17789 7 0. 0. 214 -70011.92
73.737 124 WIND_INFO 124 42 0. 0. 0.
74.734 124 LINK_REPORT 124 -1 582 71 889717 17789 7 0. 0. 214 -70011.92
